,Rank,Bib,FIS code,Athlete,Year,Nation,Time,Diff. Time,FIS Points,Event,Place,Date,Result Type,Season
0,1,31,3295157,SCARDONI Lucia,1991,ITA,3:03.01,3:03.01,0.00,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
1,2,12,3535320,MAUBET BJORNSEN Sadie,1989,USA,3:04.16,+1.15,7.54,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
2,3,23,3295193,LAURENT Greta,1992,ITA,3:05.15,+2.14,14.03,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
3,4,4,3535304,CALDWELL Sophie,1990,USA,3:05.62,+2.61,17.11,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
4,5,27,3426112,STENSETH Ane Appelkvist,1995,NOR,3:05.67,+2.66,17.44,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
5,6,8,3425365,FALLA Maiken Caspersen,1990,NOR,3:05.70,+2.69,17.64,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
6,7,15,3565062,LAMPIC Anamarija,1995,SLO,3:06.67,+3.66,24.00,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
7,8,1,3185256,PARMAKOSKI Krista,1990,FIN,3:07.29,+4.28,28.06,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
8,9,7,3425183,JACOBSEN Astrid Uhrenholdt,1987,NOR,3:07.47,+4.46,29.24,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
9,10,6,3505754,NILSSON Stina,1993,SWE,3:07.50,+4.49,29.44,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
10,11,25,3425381,SVENDSEN Anna,1990,NOR,3:07.56,+4.55,29.83,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
