0,1,31.0,3295157,SCARDONI Lucia,1991.0,ITA,3:03.01,3:03.01,0.0,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
1,2,12.0,3535320,MAUBET BJORNSEN Sadie,1989.0,USA,3:04.16,+1.15,7.54,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
2,3,23.0,3295193,LAURENT Greta,1992.0,ITA,3:05.15,+2.14,14.03,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
3,4,4.0,3535304,CALDWELL Sophie,1990.0,USA,3:05.62,+2.61,17.11,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
4,5,27.0,3426112,STENSETH Ane Appelkvist,1995.0,NOR,3:05.67,+2.66,17.44,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
5,6,8.0,3425365,FALLA Maiken Caspersen,1990.0,NOR,3:05.70,+2.69,17.64,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
6,7,15.0,3565062,LAMPIC Anamarija,1995.0,SLO,3:06.67,+3.66,24.0,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
7,8,1.0,3185256,PARMAKOSKI Krista,1990.0,FIN,3:07.29,+4.28,28.06,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
8,9,7.0,3425183,JACOBSEN Astrid Uhrenholdt,1987.0,NOR,3:07.47,+4.46,29.24,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
9,10,6.0,3505754,NILSSON Stina,1993.0,SWE,3:07.50,+4.49,29.44,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
10,11,25.0,3425381,SVENDSEN Anna,1990.0,NOR,3:07.56,+4.55,29.83,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
11,12,19.0,3535410,DIGGINS Jessica,1991.0,USA,3:07.64,+4.63,30.36,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
12,13,29.0,3205305,GIMMLER Laura,1993.0,GER,3:07.99,+4.98,32.65,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
13,14,26.0,3506105,HAGSTROEM Johanna,1998.0,SWE,3:08.72,+5.71,37.44,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
14,15,20.0,3505809,SUNDLING Jonna,1994.0,SWE,3:08.76,+5.75,37.7,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
15,16,51.0,3506008,RIBOM Emma,1997.0,SWE,3:08.78,+5.77,37.83,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
16,17,2.0,3486010,NEPRYAEVA Natalia,1995.0,RUS,3:09.02,+6.01,39.41,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
17,18,22.0,3565005,VISNAR Katja,1984.0,SLO,3:09.43,+6.42,42.1,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
18,19,9.0,3505675,SETTLIN Evelina,1992.0,SWE,3:09.45,+6.44,42.23,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
19,20,68.0,3185168,NISKANEN Kerttu,1988.0,FIN,3:10.37,+7.36,48.26,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
20,21,30.0,3425404,EIDE Mari,1989.0,NOR,3:11.02,+8.01,52.52,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
21,22,10.0,3515221,FAEHNDRICH Nadine,1995.0,SUI,3:11.14,+8.13,53.31,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
22,23,24.0,3515087,VAN DER GRAAFF Laurien,1987.0,SUI,3:11.80,+8.79,57.64,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
23,24,52.0,3505956,ROENNLUND Elina,1996.0,SWE,3:11.96,+8.95,58.69,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
24,25,5.0,3205460,HENNIG Katharina,1996.0,GER,3:12.19,+9.18,60.19,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
25,26,42.0,3185447,LYLYNPERA Katri,1994.0,FIN,3:12.28,+9.27,60.78,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
26,27,21.0,3425301,JOHAUG Therese,1988.0,NOR,3:12.39,+9.38,61.5,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
27,28,45.0,3185137,KYLLOENEN Anne,1987.0,FIN,3:12.43,+9.42,61.77,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
28,29,35.0,3535316,BRENNAN Rosie,1988.0,USA,3:12.50,+9.49,62.23,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
29,30,13.0,3426201,WENG Tiril Udnes,1996.0,NOR,3:13.03,+10.02,65.7,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
30,31,16.0,3425499,WENG Heidi,1991.0,NOR,3:13.12,+10.11,66.29,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
31,32,58.0,3435201,SKINDER Monika,2001.0,POL,3:13.49,+10.48,68.72,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
32,33,48.0,3295241,GANZ Caterina,1995.0,ITA,3:13.70,+10.69,70.09,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
33,34,28.0,3506079,LUNDGREN Moa,1998.0,SWE,3:13.83,+10.82,70.95,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
34,35,14.0,3505217,KALLA Charlotte,1987.0,SWE,3:13.85,+10.84,71.08,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
35,36,46.0,3055108,UNTERWEGER Lisa,1995.0,AUT,3:14.16,+11.15,73.11,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
36,36,49.0,3185579,MATINTALO Johanna,1996.0,FIN,3:14.16,+11.15,73.11,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
37,38,61.0,3665121,SERONOSOVA Polina,1993.0,BLR,3:14.17,+11.16,73.18,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
38,39,11.0,3505800,DAHLQVIST Maja,1994.0,SWE,3:14.53,+11.52,75.54,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
39,40,47.0,3506154,KARLSSON Frida,1999.0,SWE,3:14.58,+11.57,75.86,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
40,41,39.0,3665115,KIRILLOVA Anastasia,1996.0,BLR,3:14.63,+11.62,76.19,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
41,42,17.0,3425421,HAGA Ragnhild,1991.0,NOR,3:14.75,+11.74,76.98,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
42,43,37.0,3535562,KERN Julia,1997.0,USA,3:14.90,+11.89,77.96,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
43,44,50.0,3155314,RAZYMOVA Katerina,1991.0,CZE,3:15.32,+12.31,80.72,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
44,45,38.0,3185114,MONONEN Laura,1984.0,FIN,3:15.69,+12.68,83.14,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
45,46,34.0,3425669,KALVAA Anne Kjersti,1992.0,NOR,3:15.92,+12.91,84.65,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
46,47,3.0,3055067,STADLOBER Teresa,1993.0,AUT,3:16.56,+13.55,88.85,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
47,48,18.0,1274580,ISHIDA Masako,1980.0,JPN,3:16.57,+13.56,88.91,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
48,49,54.0,3155186,SCHUETZOVA Sandra,1991.0,CZE,3:17.78,+14.77,96.85,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
49,50,40.0,3205434,KREHL Sofie,1995.0,GER,3:18.33,+15.32,100.45,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
50,51,44.0,3185514,JULIN Andrea,1994.0,FIN,3:18.34,+15.33,100.52,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
51,52,41.0,3155324,JANATOVA Katerina,1997.0,CZE,3:18.39,+15.38,100.85,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
52,53,86.0,3185610,ALAKOSKI Anni,1997.0,FIN,3:18.43,+15.42,101.11,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
53,54,76.0,3486373,SMIRNOVA Ekaterina,1996.0,RUS,3:18.65,+15.64,102.55,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
54,55,33.0,3155344,BERANOVA Tereza,1998.0,CZE,3:18.74,+15.73,103.14,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
55,56,73.0,3435202,KALETA Weronika,1999.0,POL,3:19.37,+16.36,107.27,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
56,57,56.0,3205407,FINK Pia,1995.0,GER,3:19.72,+16.71,109.57,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
57,58,55.0,3155249,NOVAKOVA Petra,1993.0,CZE,3:19.91,+16.90,110.81,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
58,59,62.0,3435197,MARCISZ Izabela,2000.0,POL,3:20.09,+17.08,111.99,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
59,60,57.0,3535602,SWIRBUL Hailey,1998.0,USA,3:20.10,+17.09,112.06,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
60,61,77.0,3185357,KAINULAINEN Anni,1992.0,FIN,3:20.32,+17.31,113.5,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
61,62,59.0,3485862,ZHAMBALOVA Alisa,1994.0,RUS,3:20.52,+17.51,114.81,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
62,63,43.0,3485490,TSAREVA Olga,1990.0,RUS,3:20.63,+17.62,115.53,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
63,64,74.0,3185633,NISSINEN Vilma,1997.0,FIN,3:20.69,+17.68,115.93,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
64,65,80.0,3486213,DURKINA Lidia,1997.0,RUS,3:20.97,+17.96,117.76,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
65,66,78.0,3185705,OLKKONEN Tiia,1999.0,FIN,3:21.06,+18.05,118.35,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
66,67,36.0,3705003,PROCHAZKOVA Alena,1984.0,SVK,3:21.20,+18.19,119.27,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
67,68,53.0,3205491,FRAEBEL Antonia,1997.0,GER,3:21.63,+18.62,122.09,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
68,69,67.0,3125046,LI Xin,1992.0,CHN,3:22.43,+19.42,127.34,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
69,70,66.0,3295322,COMARELLA Anna,1997.0,ITA,3:22.62,+19.61,128.58,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
70,71,69.0,3185305,PAJUNOJA Maaret,1990.0,FIN,3:22.84,+19.83,130.03,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
71,72,32.0,3205403,CARL Victoria,1995.0,GER,3:22.99,+19.98,131.01,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
72,73,63.0,3185551,JOENSUU Jasmi,1996.0,FIN,3:23.09,+20.08,131.66,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
73,74,65.0,3486314,KIRPICHENKO Yana,1996.0,RUS,3:23.18,+20.17,132.26,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
74,75,71.0,3555052,EIDUKA Patricija,2000.0,LAT,3:23.37,+20.36,133.5,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
75,76,60.0,3185752,KORVA Anita,1999.0,FIN,3:23.50,+20.49,134.35,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
76,77,75.0,3675035,SHEVCHENKO Anna,1993.0,KAZ,3:23.82,+20.81,136.45,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
77,78,64.0,3125082,CHI Chunxue,1998.0,CHN,3:24.31,+21.30,139.66,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
78,79,79.0,3665023,KAMINSKA Valentyna,1987.0,UKR,3:24.99,+21.98,144.12,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
79,80,70.0,3185343,SAAPUNKI Susanna,1992.0,FIN,3:26.29,+23.28,152.65,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
80,81,83.0,3486471,ZHEREBYATEVA Anna,1997.0,RUS,3:27.62,+24.61,161.37,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
81,82,72.0,3535385,PATTERSON Caitlin,1990.0,USA,3:28.83,+25.82,169.3,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
